block,chunks,positions,method,sampler_js,sampler_tv,sampler_support_jaccard,reference_mass_in_candidate_support,mean_candidate_top_p
16,16,63,same-settings,0.041834122057826745,0.13487182786717775,0.7400449139499756,0.9792344570159912,0.95
16,16,63,frozen-mass-global,0.04263039465831031,0.13513487439957403,0.7371062366113387,0.9712325760296413,0.9388144016265869
16,16,63,frozen-temperature,0.04159579638923917,0.13284869628056648,0.7403265235144061,0.9700872302055359,0.95
16,16,63,frozen-top-p,0.04220380121102882,0.13441500011535865,0.7487506457837969,0.9694220603458465,0.9312499999999999
16,16,63,frozen-joint,0.040507360812394866,0.13107209348134577,0.7478500058647193,0.9726478277690827,0.9649999999999999
17,17,63,same-settings,0.03834074253349432,0.135780827467522,0.7119000986214962,0.9780875576866997,0.95
17,17,63,frozen-mass-global,0.037324319987203036,0.13376155820867372,0.7449419997499258,0.9747910660410685,0.9388144016265869
17,17,63,frozen-temperature,0.036062284903083414,0.13058638788523183,0.7475418871252205,0.9741537977778723,0.95
17,17,63,frozen-top-p,0.037185244448852565,0.13349056450857055,0.749333695665174,0.9735022177771916,0.9312499999999999
17,17,63,frozen-joint,0.03504104055242524,0.1281137646486362,0.7481842419923762,0.977865995868804,0.9649999999999999
18,18,63,same-settings,0.05433762924272626,0.17182641872574414,0.6947865034071931,0.9765588234341334,0.95
18,18,63,frozen-mass-global,0.05340699964602079,0.1694535572850515,0.7244603471407582,0.9729621836117336,0.9388144016265869
18,18,63,frozen-temperature,0.05302829893365029,0.16711737954663852,0.719975061112686,0.9716466845027985,0.95
18,18,63,frozen-top-p,0.054235402465103166,0.1692959569867641,0.7193407969442372,0.9655745597112746,0.9312499999999999
18,18,63,frozen-joint,0.05272447558060762,0.16623051848912995,0.7078384244139506,0.9745485460947431,0.9649999999999999
19,19,63,same-settings,0.051609894007606995,0.1748540084809065,0.6880855059657065,0.9615099278707353,0.95
19,19,63,frozen-mass-global,0.0520488437623643,0.17514257662234797,0.6934721868370541,0.9528401484565129,0.9388144016265869
19,19,63,frozen-temperature,0.052187647116148754,0.17541765420150662,0.6972548027228614,0.9504444003105164,0.95
19,19,63,frozen-top-p,0.05216806309689428,0.17531193979084492,0.6955089131746498,0.950136231051551,0.9312499999999999
19,19,63,frozen-joint,0.052256896555985484,0.17591422457721026,0.699411195581919,0.9542479552919902,0.9649999999999999
20,20,63,same-settings,0.030185052053263738,0.10433299978455854,0.763271001408411,0.9779911287247188,0.95
20,20,63,frozen-mass-global,0.029298487215465498,0.10152659000503639,0.7862168534282525,0.9728072238346887,0.9388144016265869
20,20,63,frozen-temperature,0.029339925435903882,0.1014573270129779,0.7804517152958882,0.9721311340256343,0.95
20,20,63,frozen-top-p,0.029334238316449854,0.10111773087983093,0.790184370165553,0.9699265502748036,0.9312499999999999
20,20,63,frozen-joint,0.029765171536339386,0.10182041062840394,0.762970997715276,0.9729782598359245,0.9649999999999999
21,21,63,same-settings,0.049093917452929806,0.1614728266048053,0.7276682924771846,0.9637382588689289,0.95
21,21,63,frozen-mass-global,0.05019235878994334,0.16212670936707466,0.7340317911395817,0.9522271383376348,0.9388144016265869
21,21,63,frozen-temperature,0.04984436665351192,0.16012324820021315,0.7370239928272471,0.9503971281505766,0.95
21,21,63,frozen-top-p,0.05020690136330409,0.16139025046002298,0.7415355088772292,0.9474686649110582,0.9312499999999999
