quant,block,chunks,positions,method,candidate_temperature,candidate_top_p,sampler_js,sampler_tv,sampler_support_jaccard
Q2_K_XL,13,13,63,same-settings,0.8,0.95,0.05811868014464539,0.17282813592326074,0.6843693277932925
Q2_K_XL,14,14,63,frozen-joint,0.7275,0.965,0.03305193685437622,0.11083629493793798,0.7405062756204436
Q2_K_XL,14,14,63,frozen-temperature,0.76,0.95,0.03375365768766238,0.11039322591017163,0.733941298010402
Q2_K_XL,14,14,63,frozen-top-p,0.8,0.93125,0.03371487347601307,0.1108941560581563,0.7407940129365148
Q2_K_XL,14,14,63,same-settings,0.8,0.95,0.03377126780013361,0.11245606891396973,0.7270343217487607
Q2_K_XL,15,15,63,frozen-joint,0.7275,0.965,0.03687926362239061,0.11972844544502478,0.7969470223913194
Q2_K_XL,15,15,63,frozen-temperature,0.76,0.95,0.037037551076436,0.12003539922455,0.7988788127623
Q2_K_XL,15,15,63,frozen-top-p,0.8,0.93125,0.03739047238588451,0.12142441285744546,0.7999278986923772
Q2_K_XL,15,15,63,same-settings,0.8,0.95,0.03744068700036714,0.12227588424843455,0.7984741368725902
Q2_K_XL,16,16,63,frozen-joint,0.7275,0.965,0.040534144334886814,0.13116253829664654,0.7561285966084542
Q2_K_XL,16,16,63,frozen-temperature,0.76,0.95,0.041443255667145996,0.13259328668197942,0.7514233032809948
Q2_K_XL,16,16,63,frozen-top-p,0.8,0.93125,0.04214214237909469,0.13447352744165866,0.7564257462028326
Q2_K_XL,16,16,63,same-settings,0.8,0.95,0.04176592604360647,0.13481396429299836,0.7477201984260583
Q2_K_XL,17,17,63,frozen-joint,0.7275,0.965,0.03423319679744068,0.1275045426769389,0.7593922371731568
Q2_K_XL,17,17,63,frozen-temperature,0.76,0.95,0.03532713734210351,0.13005405484092614,0.7510239299434257
Q2_K_XL,17,17,63,frozen-top-p,0.8,0.93125,0.036554122373225195,0.1331198484533363,0.7511671128595744
Q2_K_XL,17,17,63,same-settings,0.8,0.95,0.03756578351991872,0.1351226737486228,0.7216414054483578
Q2_K_XL,18,18,63,frozen-joint,0.7275,0.965,0.053141654376679705,0.16689006570312712,0.7062862218897076
