fold,test_chunks,inner_validation_chunks,train_positions,test_positions,temperature,head,method,selected_components,selected_alpha,forced_components,forced_alpha,scale,kl,js,tv,top1_agreement,top10_overlap
1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,hidden-adapter-forced,0,1.0,4,100000.0,1.0263847001847848,0.21411507421380993,0.049136788624118986,0.20310205512681206,0.7896825396825397,0.7494047619047619
1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,low-rank-oracle-16,0,1.0,4,100000.0,1.0263847001847848,0.08058481845931623,0.018506918046569457,0.08379381520124111,0.9444444444444444,0.8152777777777779
2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,identity,0,1.0,4,100000.0,1.0296886842877628,0.20688369990381306,0.047763209854483325,0.2066187365682375,0.7400793650793651,0.7742063492063493
2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,target-temperature,0,1.0,4,100000.0,1.0296886842877628,0.20502883161207092,0.046527572562593274,0.20183174921034552,0.7400793650793651,0.7742063492063493
2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,target-temperature+token,0,1.0,4,100000.0,1.0296886842877628,0.2071479571679655,0.04731770688951634,0.2054269251800294,0.75,0.773015873015873
2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,hidden-adapter,0,1.0,4,100000.0,1.0296886842877628,0.2071479571679655,0.04731770688951634,0.2054269251800294,0.75,0.773015873015873
2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,hidden-adapter-forced,0,1.0,4,100000.0,1.0296886842877628,0.21428342758255978,0.04905589647835748,0.2092229583275859,0.7559523809523809,0.7682539682539682
2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,low-rank-oracle-16,0,1.0,4,100000.0,1.0296886842877628,0.0927556687954744,0.021341964491450233,0.0972715288963938,0.9305555555555556,0.8285714285714286
3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,identity,0,1.0,16,100000.0,1.033420093472284,0.23134057133282326,0.053077701402175846,0.22524132622460416,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,target-temperature,0,1.0,16,100000.0,1.033420093472284,0.23099068397344533,0.05198578849457185,0.2203049072926399,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,target-temperature+token,0,1.0,16,100000.0,1.033420093472284,0.2320540684192327,0.05269940125242997,0.22320605079251654,0.7857142857142857,0.7531746031746033
3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,hidden-adapter,0,1.0,16,100000.0,1.033420093472284,0.2320540684192327,0.05269940125242997,0.22320605079251654,0.7857142857142857,0.7531746031746033
3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,hidden-adapter-forced,0,1.0,16,100000.0,1.033420093472284,0.2555169524734424,0.05778648248983132,0.23686035300718208,0.7777777777777778,0.7390873015873016
3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,low-rank-oracle-16,0,1.0,16,100000.0,1.033420093472284,0.1082442605757336,0.024459451652173225,0.10941692833859255,0.9345238095238095,0.8148809523809525
