source,trial,calibration_contexts,method,sampling_temperature,kl,js,tv,top1_flip,top10_overlap
micro-lm:Q3,0,64,temperature+token-bias+PCA,0.8,0.07983145117759705,0.01943904347717762,0.14618927240371704,0.2025,0.8572500000000002
micro-lm:Q3,0,64,temperature+token-bias+PCA,1.0,0.05892705172300339,0.01449514552950859,0.1294826865196228,0.2025,0.8572500000000002
micro-lm:Q3,0,64,temperature+token-bias+PCA,1.3,0.03932228684425354,0.009738923981785774,0.107901431620121,0.2025,0.8572500000000002
micro-lm:Q3,1,64,identity,0.55,0.24443744122982025,0.0512528158724308,0.21966910362243652,0.2565,0.805575
micro-lm:Q3,1,64,identity,0.8,0.16311593353748322,0.03670452535152435,0.20009468495845795,0.2565,0.805575
micro-lm:Q3,1,64,identity,1.0,0.12191928178071976,0.02834969013929367,0.18185050785541534,0.2565,0.805575
micro-lm:Q3,1,64,identity,1.3,0.08147113025188446,0.01949470117688179,0.15426088869571686,0.2565,0.805575
micro-lm:Q3,1,64,temperature,0.55,0.2092110961675644,0.046852629631757736,0.21032793819904327,0.2565,0.805575
micro-lm:Q3,1,64,temperature,0.8,0.13800936937332153,0.0326516330242157,0.18697386980056763,0.2565,0.805575
micro-lm:Q3,1,64,temperature,1.0,0.10362103581428528,0.025020556524395943,0.1680544912815094,0.2565,0.805575
micro-lm:Q3,1,64,temperature,1.3,0.07039577513933182,0.017251702025532722,0.14243535697460175,0.2565,0.805575
micro-lm:Q3,1,64,temperature+token-bias,0.55,0.1513422429561615,0.03471466898918152,0.18620553612709045,0.2215,0.8471250000000002
micro-lm:Q3,1,64,temperature+token-bias,0.8,0.09503138810396194,0.022738944739103317,0.1602698415517807,0.2215,0.8471250000000002
micro-lm:Q3,1,64,temperature+token-bias,1.0,0.06921815127134323,0.016820471733808517,0.1409740000963211,0.2215,0.8471250000000002
micro-lm:Q3,1,64,temperature+token-bias,1.3,0.04566798359155655,0.011224595829844475,0.11685621738433838,0.2215,0.8471250000000002
micro-lm:Q3,1,64,temperature+token-bias+PCA,0.55,0.13283902406692505,0.03089992143213749,0.1746053844690323,0.223,0.8563750000000001
micro-lm:Q3,1,64,temperature+token-bias+PCA,0.8,0.0842776969075203,0.02028215117752552,0.1503838300704956,0.223,0.8563750000000001
micro-lm:Q3,1,64,temperature+token-bias+PCA,1.0,0.06146508827805519,0.014982983469963074,0.1323259472846985,0.223,0.8563750000000001
micro-lm:Q3,1,64,temperature+token-bias+PCA,1.3,0.040454965084791183,0.009959165938198566,0.10958625376224518,0.223,0.8563750000000001
micro-lm:Q3,2,64,identity,0.55,0.24443744122982025,0.0512528158724308,0.21966910362243652,0.2565,0.805575
micro-lm:Q3,2,64,identity,0.8,0.16311593353748322,0.03670452535152435,0.20009468495845795,0.2565,0.805575
micro-lm:Q3,2,64,identity,1.0,0.12191928178071976,0.02834969013929367,0.18185050785541534,0.2565,0.805575
micro-lm:Q3,2,64,identity,1.3,0.08147113025188446,0.01949470117688179,0.15426088869571686,0.2565,0.805575
micro-lm:Q3,2,64,temperature,0.55,0.20618818700313568,0.04662365838885307,0.21017251908779144,0.2565,0.805575
micro-lm:Q3,2,64,temperature,0.8,0.13699443638324738,0.032650407403707504,0.18721002340316772,0.2565,0.805575
micro-lm:Q3,2,64,temperature,1.0,0.10344930738210678,0.025117509067058563,0.16864584386348724,0.2565,0.805575
micro-lm:Q3,2,64,temperature,1.3,0.07071048021316528,0.017389945685863495,0.14322341978549957,0.2565,0.805575
micro-lm:Q3,2,64,temperature+token-bias,0.55,0.14133355021476746,0.03283277153968811,0.17964157462120056,0.2165,0.8487
micro-lm:Q3,2,64,temperature+token-bias,0.8,0.09013570845127106,0.021755540743470192,0.15572768449783325,0.2165,0.8487
micro-lm:Q3,2,64,temperature+token-bias,1.0,0.06642553210258484,0.016247214749455452,0.137851282954216,0.2165,0.8487
micro-lm:Q3,2,64,temperature+token-bias,1.3,0.04442160204052925,0.01096639595925808,0.11509493738412857,0.2165,0.8487
micro-lm:Q3,2,64,temperature+token-bias+PCA,0.55,0.1281769573688507,0.029963085427880287,0.17054669559001923,0.2125,0.8546750000000002
micro-lm:Q3,2,64,temperature+token-bias+PCA,0.8,0.08199519664049149,0.019834768027067184,0.14816345274448395,0.2125,0.8546750000000002
micro-lm:Q3,2,64,temperature+token-bias+PCA,1.0,0.060207631438970566,0.014740783721208572,0.1308644860982895,0.2125,0.8546750000000002
micro-lm:Q3,2,64,temperature+token-bias+PCA,1.3,0.03997635468840599,0.009872419759631157,0.10881399363279343,0.2125,0.8546750000000002
micro-lm:Q3,3,64,identity,0.55,0.24443744122982025,0.0512528158724308,0.21966910362243652,0.2565,0.805575
micro-lm:Q3,3,64,identity,0.8,0.16311593353748322,0.03670452535152435,0.20009468495845795,0.2565,0.805575
micro-lm:Q3,3,64,identity,1.0,0.12191928178071976,0.02834969013929367,0.18185050785541534,0.2565,0.805575
micro-lm:Q3,3,64,identity,1.3,0.08147113025188446,0.01949470117688179,0.15426088869571686,0.2565,0.805575
micro-lm:Q3,3,64,temperature,0.55,0.20598919689655304,0.046611860394477844,0.21017733216285706,0.2565,0.805575
micro-lm:Q3,3,64,temperature,0.8,0.1369483768939972,0.03265708312392235,0.18725667893886566,0.2565,0.805575
micro-lm:Q3,3,64,temperature,1.0,0.10346304625272751,0.025131022557616234,0.16871638596057892,0.2565,0.805575
micro-lm:Q3,3,64,temperature,1.3,0.07075349241495132,0.01740499585866928,0.14330706000328064,0.2565,0.805575
micro-lm:Q3,3,64,temperature+token-bias,0.55,0.14161428809165955,0.033123698085546494,0.18169242143630981,0.22025,0.8465750000000002
micro-lm:Q3,3,64,temperature+token-bias,0.8,0.09074494242668152,0.02200898341834545,0.1573893129825592,0.22025,0.8465750000000002
micro-lm:Q3,3,64,temperature+token-bias,1.0,0.06718243658542633,0.0164907556027174,0.13938991725444794,0.22025,0.8465750000000002
micro-lm:Q3,3,64,temperature+token-bias,1.3,0.04513805732131004,0.011168091557919979,0.11647903174161911,0.22025,0.8465750000000002
micro-lm:Q3,3,64,temperature+token-bias+PCA,0.55,0.13441042602062225,0.031375691294670105,0.1740807741880417,0.21825,0.8561500000000002
