source,trial,calibration_contexts,method,kl,js,tv,top1_flip,top10_overlap,fitted_scale
controlled:scale,4,4,temperature+token-bias,0.0009080637751743166,0.00022704867132287683,0.016948230631402973,0.030833333333333334,0.9722500000000001,
controlled:scale,4,4,temperature+token-bias+PCA,0.0009125266737753956,0.00022816546414320562,0.016993810851473837,0.030833333333333334,0.9715000000000001,
controlled:scale,4,8,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,4,8,temperature,0.0008639112253702628,0.00021595084728252787,0.016478463243548975,0.03,0.9727500000000001,1.217870063727138
controlled:scale,4,8,temperature+rank,0.0009084671144418196,0.00022711847453765874,0.016963999513676137,0.049166666666666664,0.9727500000000001,
controlled:scale,4,8,isotonic,0.005657455889183149,0.0013501137091790313,0.02549733710249341,0.03166666666666667,0.9719166666666669,
controlled:scale,4,8,temperature+token-bias,0.0008883167754053389,0.00022206089815002926,0.016722460865666065,0.0325,0.9720000000000001,
controlled:scale,4,8,temperature+token-bias+PCA,0.0009168968500870248,0.00022920352572212982,0.01698537603937428,0.034166666666666665,0.9704166666666667,
controlled:scale,4,16,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,4,16,temperature,0.0008663897143231864,0.00021658457510801828,0.016512811586241773,0.03,0.9727500000000001,1.2170283302427507
controlled:scale,4,16,temperature+rank,0.0008755505271573946,0.00021890172080480858,0.01663446725922199,0.035,0.9727500000000001,
controlled:scale,4,16,isotonic,0.0020545829935438497,0.0005145136206797655,0.01932733014353048,0.03166666666666667,0.9718333333333332,
controlled:scale,4,16,temperature+token-bias,0.0008888608459598084,0.00022221397859194665,0.016740457833678158,0.0325,0.9723333333333335,
controlled:scale,4,16,temperature+token-bias+PCA,0.0009227023532303583,0.00023068196926021023,0.017067082299772177,0.035833333333333335,0.9716666666666667,
controlled:scale,4,32,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,4,32,temperature,0.0008655760052812861,0.00021637736111306463,0.01650205404348803,0.03,0.9727500000000001,1.2172543314650983
controlled:scale,4,32,temperature+rank,0.0008677636331352175,0.0002169371853084784,0.016535900191605356,0.03166666666666667,0.9727500000000001,
controlled:scale,4,32,isotonic,0.0020447456374545303,0.0005119923343259986,0.019245040515639966,0.03333333333333333,0.9725,
controlled:scale,4,32,temperature+token-bias,0.0008773435135888012,0.0002193163965614763,0.016619738395775338,0.03166666666666667,0.9732500000000001,
controlled:scale,4,32,temperature+token-bias+PCA,0.0008900174198832471,0.0002224796266115021,0.016741043432336733,0.03,0.9725,
controlled:scale,4,64,identity,0.05295212707143143,0.01318083665178002,0.1337644962624187,0.03,0.9727500000000001,
controlled:scale,4,64,temperature,0.0008632196825780994,0.00021577062554714103,0.016466840534270204,0.03,0.9727500000000001,1.218307083070191
controlled:scale,4,64,temperature+rank,0.0008647639266978881,0.00021616740329692,0.016487961439747723,0.03333333333333333,0.9727500000000001,
