source,trial,calibration_contexts,method,temperature,top_p,js,tv
micro-lm:Q4,1,16,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,1,16,tuned T,0.825,0.95,0.013959147036075592,0.1054549291729927
micro-lm:Q4,1,16,"tuned T,p",0.8,0.96,0.01397467590868473,0.10507725179195404
micro-lm:Q4,1,16,temperature+rank,0.8,0.95,0.014262347650170891,0.1078743753279517
micro-lm:Q4,1,16,temperature+token-bias+PCA,0.8,0.95,0.009391899220645428,0.08160194754600525
micro-lm:Q4,1,64,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,1,64,tuned T,0.825,0.95,0.013959147036075592,0.1054549291729927
micro-lm:Q4,1,64,"tuned T,p",0.8,0.96,0.01397467590868473,0.10507725179195404
micro-lm:Q4,1,64,temperature+rank,0.8,0.95,0.01363357929807984,0.10411595027616706
micro-lm:Q4,1,64,temperature+token-bias+PCA,0.8,0.95,0.008567187003791332,0.07770033180713654
micro-lm:Q4,2,16,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,2,16,tuned T,0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,2,16,"tuned T,p",0.7749999999999999,0.96,0.013430885039269924,0.10565251111984253
micro-lm:Q4,2,16,temperature+rank,0.8,0.95,0.014256561170516917,0.10905713322758348
micro-lm:Q4,2,16,temperature+token-bias+PCA,0.8,0.95,0.00965812522917986,0.08341516554355621
micro-lm:Q4,2,64,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,2,64,tuned T,0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,2,64,"tuned T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,2,64,temperature+rank,0.8,0.95,0.013480680814050043,0.10394776414539832
micro-lm:Q4,2,64,temperature+token-bias+PCA,0.8,0.95,0.00830406416207552,0.07591591775417328
micro-lm:Q4,3,16,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,3,16,tuned T,0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,3,16,"tuned T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,3,16,temperature+rank,0.8,0.95,0.013474050771324887,0.10388514498947399
