fold,basis,seed,components,identity_kl,baseline_kl,oracle_kl,recovered_from_identity,recovered_from_baseline,js,tv,top1_agreement,top10_overlap
0,gaussian-random,0,16,0.1792112570761493,0.18766587968028633,0.06661743295691111,0.6282742834139907,0.645021071116376,0.014706426363469529,0.05799410565292969,0.9632936507936508,0.8023313492063492
0,gaussian-random,0,32,0.1792112570761493,0.18766587968028633,0.05469992467766878,0.6947740584486496,0.70852493393654,0.012036157413909575,0.04718081470180642,0.9742063492063492,0.8643353174603176
0,token-permuted-pca,0,16,0.1792112570761493,0.18766587968028633,0.11055543752880387,0.383099927244931,0.4108921786040718,0.02522928119669,0.09931543307265911,0.9122023809523809,0.7569444444444444
0,sign-randomized-pca,0,16,0.1792112570761493,0.18766587968028633,0.08227830706858684,0.5408865022713072,0.5615702374413568,0.018171117552976266,0.0695178493374835,0.9489087301587301,0.7961309523809523
0,gaussian-random,1,1,0.1792112570761493,0.18766587968028633,0.15284712107484424,0.14711205329084087,0.1855359038348391,0.035188198875653144,0.13876618115310588,0.8700396825396826,0.733779761904762
0,gaussian-random,1,2,0.1792112570761493,0.18766587968028633,0.1314785624275832,0.2663487518994625,0.2994008146202477,0.030278638934041695,0.12010408165396819,0.8903769841269841,0.7236111111111112
0,gaussian-random,1,4,0.1792112570761493,0.18766587968028633,0.1069271033445615,0.40334605599509454,0.43022618961568304,0.024362229281330337,0.09670369546372486,0.9166666666666666,0.7245039682539683
0,gaussian-random,1,8,0.1792112570761493,0.18766587968028633,0.08182129163417522,0.5434366514185645,0.5640054986363605,0.01830651811717981,0.07270785750847056,0.9479166666666666,0.7510912698412698
0,gaussian-random,1,16,0.1792112570761493,0.18766587968028633,0.06642242019362887,0.6293624559231505,0.6460602198610197,0.014652617552479609,0.0573627134763513,0.9692460317460317,0.801636904761905
0,gaussian-random,1,32,0.1792112570761493,0.18766587968028633,0.054603106063949775,0.6953143069536744,0.7090408434555424,0.012009455287778796,0.04690253666768633,0.9737103174603174,0.8626488095238097
0,token-permuted-pca,1,16,0.1792112570761493,0.18766587968028633,0.10082202583987233,0.437412428857459,0.4627578225107516,0.022445433975721702,0.08738422361395043,0.9226190476190477,0.7670634920634921
0,sign-randomized-pca,1,16,0.1792112570761493,0.18766587968028633,0.08277384126670598,0.5381214181677536,0.5589297244244815,0.018298743208635768,0.06991795979839326,0.9499007936507936,0.7970734126984127
0,gaussian-random,2,1,0.1792112570761493,0.18766587968028633,0.14806515862933953,0.17379543537030917,0.21101716048975916,0.03407892027854704,0.1363039601709933,0.8814484126984127,0.7382936507936508
0,gaussian-random,2,2,0.1792112570761493,0.18766587968028633,0.12916754030280195,0.27924427064357393,0.31171537136715555,0.02950934322667129,0.11813574152854626,0.8943452380952381,0.7264384920634921
0,gaussian-random,2,4,0.1792112570761493,0.18766587968028633,0.10437401905868293,0.4175922831994142,0.4438306034293613,0.02353884109363019,0.09387927642508546,0.9236111111111112,0.7278769841269842
0,gaussian-random,2,8,0.1792112570761493,0.18766587968028633,0.08376098486182322,0.5326131503768647,0.5536696121611391,0.018667788683571926,0.07415747124108531,0.9449404761904762,0.7502976190476192
0,gaussian-random,2,16,0.1792112570761493,0.18766587968028633,0.06661490625884531,0.6282883824059126,0.6450345349280721,0.014729822903748807,0.0580799035476051,0.9632936507936508,0.8040674603174603
0,gaussian-random,2,32,0.1792112570761493,0.18766587968028633,0.05452753235903261,0.6957360087270459,0.7094435469466933,0.01200901281999412,0.04708103663467676,0.9732142857142857,0.8629464285714287
0,token-permuted-pca,2,16,0.1792112570761493,0.18766587968028633,0.10561593694807907,0.4106623731610709,0.43721289598295765,0.02399367354603254,0.09481496564528244,0.910218253968254,0.7592261904761904
0,sign-randomized-pca,2,16,0.1792112570761493,0.18766587968028633,0.08287887671595881,0.5375353196660941,0.558370030518313,0.018334697272721776,0.07025712585317576,0.9523809523809523,0.7947420634920636
0,gaussian-random,3,1,0.1792112570761493,0.18766587968028633,0.15072294507813486,0.15896496940429006,0.19685482872586457,0.034493105627139004,0.1367060110787905,0.8720238095238095,0.7405753968253969
0,gaussian-random,3,2,0.1792112570761493,0.18766587968028633,0.1271585460123337,0.2904544720742497,0.3224205368127381,0.029181786289895595,0.11573985895671364,0.8968253968253969,0.7341269841269841
0,gaussian-random,3,4,0.1792112570761493,0.18766587968028633,0.10498240332035517,0.4141974949947105,0.4405887554029182,0.023751145486384954,0.09496226529048594,0.9216269841269841,0.7325892857142857
0,gaussian-random,3,8,0.1792112570761493,0.18766587968028633,0.08415455599440404,0.530417020853519,0.5515724214877396,0.01884246602152865,0.07499820362788735,0.9503968253968254,0.7493551587301589
0,gaussian-random,3,16,0.1792112570761493,0.18766587968028633,0.06707008705404575,0.6257484705575902,0.6426090498266999,0.014814835561130363,0.05846688853926704,0.9618055555555556,0.8007936507936508
0,gaussian-random,3,32,0.1792112570761493,0.18766587968028633,0.05453498276944189,0.6956944353876764,0.7094038465471217,0.012010386887563061,0.04709276930582885,0.9732142857142857,0.8628472222222223
0,token-permuted-pca,3,16,0.1792112570761493,0.18766587968028633,0.10433594467473387,0.417804738513719,0.44403348732074277,0.023358306426316425,0.09141211406262245,0.9196428571428571,0.7625000000000001
0,sign-randomized-pca,3,16,0.1792112570761493,0.18766587968028633,0.08343159175222446,0.5344511661074212,0.5554248225923581,0.018462660757709675,0.0707465298012153,0.9494047619047619,0.7963293650793651
