document,chunk,positions,baseline_kl,candidate_kl,kl_reduction,baseline_js,candidate_js
server-docs,31,63,0.32249401136493633,0.30647865897099974,0.01601535239393659,0.0656858260609581,0.06439690148042809
gpl3,0,63,0.7820882204205624,0.6814770457170357,0.10061117470352665,0.15447238105255,0.14016379707514817
gpl3,1,63,1.5815415129777866,1.5400898095200926,0.041451703457694,0.26572206408084076,0.24661871825983758
gpl3,2,63,0.878359215081969,0.8735854275835172,0.004773787498451809,0.19492221025376194,0.19751845400002915
gpl3,3,63,1.3959759279202286,1.397475698704107,-0.001499770783878418,0.2622157169174725,0.2668896624709882
gpl3,4,63,1.4371767122365926,1.4310029388824848,0.006173773354107848,0.2815915967666014,0.27635232480073074
gpl3,5,63,1.5613637689116693,1.577988688841403,-0.016624919929733695,0.27406418456562925,0.27665310655674336
gpl3,6,63,1.0531222134139915,0.9669528372759277,0.08616937613806375,0.15629522338264698,0.1582520197120011
gpl3,7,63,1.2137010355226454,1.1807261640494708,0.03297487147317457,0.196235957303218,0.19227820108106258
gpl3,8,63,1.4034198809134226,1.4706882443085003,-0.06726836339507769,0.24209423878184883,0.2341794848485618
gpl3,9,63,1.0639234652894267,1.1113319718800965,-0.04740850659066975,0.18346023507633835,0.1832936073023741
gpl3,10,63,1.5271155274184864,1.5362457483840575,-0.009130220965571034,0.24971974562232924,0.24343335519416354
gpl3,11,63,1.3191657472625449,1.354053502547599,-0.03488775528505417,0.23175966935181466,0.22719834291303184
gpl3,12,63,1.2714856479601984,1.2119308489569767,0.05955479900322169,0.21735399165446426,0.21426519223663607
gpl3,13,63,1.5981439056737896,1.5848753914146476,0.013268514259141995,0.26059531762543237,0.25092351313385675
gpl3,14,63,1.2859263291789427,1.3232207593678067,-0.037294430188864025,0.25356849269582965,0.25339785649414387
gpl3,15,63,1.3432191081483902,1.347603567819562,-0.0043844596711717365,0.24665818749063975,0.24198339268097033
gpl3,16,63,1.0657591143109375,1.024510211403248,0.041248902907689455,0.19591009351054958,0.19451838229833396
gpl3,17,63,1.427422984041244,1.3316382695782176,0.09578471446302639,0.2141682067022697,0.2122560209834427
gpl3,18,63,1.2680841991740246,1.2091526630238005,0.05893153615022406,0.20842153994677604,0.20041656999299967
gpl3,19,63,1.3132756294518393,1.2969335320547486,0.016342097397090694,0.22909514357324373,0.22957996327978247
gpl3,20,63,1.1320797332547723,1.1014138963747961,0.03066583687997615,0.2192255104864238,0.21440116641199908
gpl3,21,63,1.0514360857957241,1.040346311706618,0.011089774089106053,0.18852036825125926,0.1913911519004614
gpl3,22,63,1.220087358225613,1.1516534683159412,0.06843388990967192,0.2116330945895611,0.1976064669442282
gpl3,23,63,1.3854732009823483,1.3659292405159031,0.01954396046644513,0.1928860632377629,0.1965181693507085
gpl3,24,63,1.0106067133160577,1.0199152211751512,-0.00930850785909354,0.1962754854670031,0.1938942585127243
gpl3,25,63,1.5363660390614227,1.4622823526451756,0.07408368641624707,0.2511775121645567,0.24270778645800348
gpl3,26,63,0.6733364184813885,0.6481587884962441,0.02517762998514439,0.1445164268061201,0.1386672056155115
gpl3,27,63,1.4164293642312433,1.4026379807681744,0.013791383463068962,0.25049533332538787,0.24516576024755538
gpl3,28,63,1.5651998729412702,1.4498236830963471,0.11537618984492304,0.24098495080259108,0.22743025681074147
gpl3,29,63,1.7886996234634094,1.7663461044005724,0.022353519062837002,0.26753133547292296,0.27085090108656523
gpl3,30,63,1.0647433693165012,0.9898607533218132,0.07488261599468793,0.1891726240446876,0.1805020353658042
gpl3,31,63,1.253006645093491,1.3095287468749452,-0.05652210178145434,0.2378234866003671,0.23934028547847402
