label,chunk,kl,js,tv,acceptance,top1_agreement,top10_overlap
early-Q8-2,20,0.09082764605906078,0.021578550810513013,0.10748963527305658,0.8925103647269435,0.873015873015873,0.788888888888889
early-Q8-2,21,0.1455484335028958,0.03359513690988284,0.1549989571600842,0.8450010428399158,0.8571428571428571,0.7761904761904761
early-Q8-2,22,0.20705785933583568,0.04499700085842859,0.16918657949362467,0.8308134205063753,0.8888888888888888,0.7460317460317459
early-Q8-2,23,0.16077089438442185,0.03364459986963964,0.13281895256959758,0.8671810474304025,0.8412698412698413,0.7825396825396825
early-Q8-2,24,0.16021875678843428,0.03215250493136294,0.13026800780466552,0.8697319921953345,0.9206349206349206,0.7412698412698413
early-Q8-2,25,0.1705178555696168,0.04032726720574179,0.17854123758447785,0.8214587624155222,0.8253968253968254,0.8031746031746031
early-Q8-2,26,0.20817548701493901,0.04630251282252998,0.18531618366574143,0.8146838163342586,0.746031746031746,0.7619047619047621
early-Q8-2,27,0.19548365894505487,0.04575635610256411,0.18702827315289705,0.812971726847103,0.873015873015873,0.7603174603174604
early-Q8-2,28,0.15889521569405343,0.038030170261793374,0.17179316358219476,0.8282068364178052,0.746031746031746,0.773015873015873
early-Q8-2,29,0.09159144807117917,0.0236119625035597,0.09789623430300246,0.9021037656969976,0.9523809523809523,0.8047619047619048
early-Q8-2,30,0.16962274855061893,0.03949141070858339,0.17223723963760432,0.8277627603623957,0.7936507936507936,0.8047619047619048
early-Q8-2,31,0.16654210130924357,0.03933601989888483,0.15997920862231232,0.8400207913776877,0.8888888888888888,0.7730158730158728
Q4_K_XL,0,0.020020346386662,0.004865366337563994,0.06195394273918066,0.9380460572608194,0.8888888888888888,0.9190476190476191
Q4_K_XL,1,0.01141800038471451,0.00297123262536224,0.039312969245032484,0.9606870307549675,0.9047619047619048,0.9222222222222222
Q4_K_XL,2,0.008543001623744809,0.0021675533443639115,0.02934642194506725,0.9706535780549328,0.9682539682539683,0.9238095238095239
Q4_K_XL,3,0.01590777513255099,0.004104017020617831,0.04137110309289306,0.958628896907107,1.0,0.9063492063492062
