layer,fold,test_chunks,raw_mse,corrected_mse,recovered,bias_rms
10,0,0+1+2+3+4+5+6+7,0.003147607445924875,0.003055837964591043,0.02915531333255783,0.010312957057477716
10,1,8+9+10+11+12+13+14+15,0.0031227702570361957,0.0030239245788794868,0.031653202131662006,0.010185066025205823
10,2,16+17+18+19+20+21+22+23,0.0031188063436745446,0.0030412571129781354,0.024865035578015893,0.010544461778155056
10,3,24+25+26+27+28+29+30+31,0.0033931826075401196,0.0033014286230322928,0.027040685727887648,0.01031191000945342
11,0,0+1+2+3+4+5+6+7,0.0038857691793765547,0.003748799225677356,0.035249122471339045,0.012232978650109388
11,1,8+9+10+11+12+13+14+15,0.003779736752478284,0.0036611781771962947,0.03136688691461198,0.012468170649635279
11,2,16+17+18+19+20+21+22+23,0.003867027771607351,0.0037370631680801337,0.03360839673339011,0.012329861390753871
11,3,24+25+26+27+28+29+30+31,0.00417510399172914,0.004038129053570957,0.032807551244119826,0.01223101593167582
12,0,0+1+2+3+4+5+6+7,0.004523033182691771,0.004346573759569378,0.03901351504509132,0.014112121813569065
12,1,8+9+10+11+12+13+14+15,0.004472840080899906,0.004302788392864768,0.03801872746609025,0.014194627847699523
12,2,16+17+18+19+20+21+22+23,0.00442613429926536,0.004245917075501239,0.040716618967940654,0.014076976063283985
12,3,24+25+26+27+28+29+30+31,0.004737703478202035,0.004563447525286199,0.03678067944048835,0.014152420591810719
13,0,0+1+2+3+4+5+6+7,0.004976701943704292,0.004787312430151668,0.0380552252666464,0.01433080275736265
13,1,8+9+10+11+12+13+14+15,0.00484456877315014,0.004671051388221025,0.03581688960445639,0.01452210684972346
13,2,16+17+18+19+20+21+22+23,0.004796284611984618,0.0046165489089805625,0.03747394442668073,0.014454937795636794
13,3,24+25+26+27+28+29+30+31,0.005089111524186252,0.004899659483977375,0.03722693820099965,0.01434863950691788
14,0,0+1+2+3+4+5+6+7,0.00566152432596654,0.005469600641175234,0.03389964852946914,0.01414742296096052
14,1,8+9+10+11+12+13+14+15,0.005515983418422073,0.005346445116067121,0.030735825236300474,0.01442519420942227
14,2,16+17+18+19+20+21+22+23,0.005399901793471844,0.005230789266523177,0.03131770417623403,0.014436897566361696
14,3,24+25+26+27+28+29+30+31,0.005667861852659686,0.00548259578484943,0.032687117757345896,0.014254314348651593
15,0,0+1+2+3+4+5+6+7,0.006693645060385581,0.0064764315071314275,0.03245071277227851,0.015352293280371397
15,1,8+9+10+11+12+13+14+15,0.006498788715926694,0.006297415800413794,0.03098622286633068,0.015533416923501709
15,2,16+17+18+19+20+21+22+23,0.006377219227078804,0.006171304910115191,0.032289044743712636,0.01549952417813403
15,3,24+25+26+27+28+29+30+31,0.006571877616121682,0.006372239324672303,0.030377664209637723,0.015571674461523697
16,0,0+1+2+3+4+5+6+7,0.007847273132982656,0.007592336524908392,0.03248728618897534,0.01678428345469771
16,1,8+9+10+11+12+13+14+15,0.007629750420138615,0.007392457431851959,0.03110101578949742,0.01697080422331866
16,2,16+17+18+19+20+21+22+23,0.007543978032314814,0.0072909564519284525,0.033539543633682056,0.016836379856031782
16,3,24+25+26+27+28+29+30+31,0.007493787955560697,0.007254091777641962,0.03198598350262516,0.016982048055980626
17,0,0+1+2+3+4+5+6+7,0.009001478698355157,0.008708796851145876,0.03251486305941742,0.01817315363949957
17,1,8+9+10+11+12+13+14+15,0.008685497634848584,0.008405137232679686,0.03227914092613593,0.01831098211590159
17,2,16+17+18+19+20+21+22+23,0.00858440209272696,0.008307590868157435,0.032245836294650054,0.01836612573751593
17,3,24+25+26+27+28+29+30+31,0.00847156039693078,0.008174931132144072,0.03501471404183998,0.018204606423914187
18,0,0+1+2+3+4+5+6+7,0.009680225398737682,0.009406500866604184,0.028276669277679467,0.018238290327548846
18,1,8+9+10+11+12+13+14+15,0.00932710280965509,0.009057313022330673,0.028925357941282703,0.018310008207090753
18,2,16+17+18+19+20+21+22+23,0.009245670963685226,0.008968234482789843,0.030007176546200554,0.018258451099712816
18,3,24+25+26+27+28+29+30+31,0.009065904363887609,0.008773013934855621,0.03230680771337757,0.018149113034126012
19,0,0+1+2+3+4+5+6+7,0.012503033961711523,0.012081131730777657,0.03374398823724478,0.02261588932734114
19,1,8+9+10+11+12+13+14+15,0.012153607125327816,0.011714870387365012,0.036099302325520055,0.022543191086730346
19,2,16+17+18+19+20+21+22+23,0.011902156893221074,0.011496211504145197,0.03410687598204032,0.02281592268779131
19,3,24+25+26+27+28+29+30+31,0.011808749055426221,0.011355006719346963,0.038424250862605924,0.022496663033750388
20,0,0+1+2+3+4+5+6+7,0.01631500283059738,0.01574637235297769,0.03485322580228267,0.025739962993232793
20,1,8+9+10+11+12+13+14+15,0.016076327146280076,0.01555061119021755,0.032701247696627744,0.026062060696674463
20,2,16+17+18+19+20+21+22+23,0.015542056232829681,0.01502365718999315,0.0333545983279554,0.026137538462739692
20,3,24+25+26+27+28+29+30+31,0.01498334769357902,0.014370688976865949,0.04088930786646705,0.025563802582752187
21,0,0+1+2+3+4+5+6+7,0.020113694926894476,0.019444931808683494,0.03324914296660453,0.028032362880701604
21,1,8+9+10+11+12+13+14+15,0.01974028174703591,0.019117318265216756,0.031557983305516624,0.02838125463294772
21,2,16+17+18+19+20+21+22+23,0.01897681122008058,0.018382151971502617,0.031336099710404186,0.028570982193427394
21,3,24+25+26+27+28+29+30+31,0.018618090260507557,0.01789645020121409,0.03876015473102534,0.02783084396294062
22,0,0+1+2+3+4+5+6+7,0.025590406935402096,0.024782983765772894,0.03155179093741578,0.030321749666410606
22,1,8+9+10+11+12+13+14+15,0.024844583032127294,0.024087716972664278,0.03046402744953658,0.03068311655144934
22,2,16+17+18+19+20+21+22+23,0.023840679986567727,0.023184217808125858,0.027535379813483973,0.03123794752569316
22,3,24+25+26+27+28+29+30+31,0.02360997174789266,0.02278305466453703,0.03502406068865538,0.03033479230074176
23,0,0+1+2+3+4+5+6+7,0.03495509597005689,0.03393092594523145,0.029299591272836434,0.034985958778982015
23,1,8+9+10+11+12+13+14+15,0.03416963206247933,0.03319099302850014,0.02864060789972056,0.035334729492151135
23,2,16+17+18+19+20+21+22+23,0.03415930530489598,0.033246509992685996,0.026721717671440826,0.03567615917049802
23,3,24+25+26+27+28+29+30+31,0.03250024765120466,0.03139512463503141,0.034003526004894535,0.03477212985233256
24,0,0+1+2+3+4+5+6+7,0.04313737151947482,0.041428490558825276,0.03961486062909625,0.043234702026661256
24,1,8+9+10+11+12+13+14+15,0.0406137573417087,0.03904791129890374,0.038554572275362964,0.04389331982998419
24,2,16+17+18+19+20+21+22+23,0.04046119783119341,0.03909021125446343,0.03388398392083747,0.044652454404454305
24,3,24+25+26+27+28+29+30+31,0.039369317391829264,0.03759602672166755,0.045042454064233906,0.04314905740453955
25,0,0+1+2+3+4+5+6+7,0.05155284496354134,0.04925658588693559,0.04454184978985509,0.047659120983078694
25,1,8+9+10+11+12+13+14+15,0.04761405658731443,0.045688660225030146,0.0404375619362215,0.04906147428292566
25,2,16+17+18+19+20+21+22+23,0.04824018868186441,0.04657333053814721,0.03455330895801079,0.04994265851564262
25,3,24+25+26+27+28+29+30+31,0.04708555924394533,0.04492891047987244,0.04580276413198181,0.048326539904813
26,0,0+1+2+3+4+5+6+7,0.061327850963537864,0.05848646166467549,0.04633114081482659,0.0514810845305758
26,1,8+9+10+11+12+13+14+15,0.05563274829921092,0.0533478137580199,0.04107175379691663,0.05340106291903878
26,2,16+17+18+19+20+21+22+23,0.05770177146034473,0.05577956629633372,0.03331275826309832,0.05454817461912797
26,3,24+25+26+27+28+29+30+31,0.05579187661141892,0.05325420117480981,0.04548467609870144,0.05269097670116306
27,0,0+1+2+3+4+5+6+7,0.07769135940537822,0.07452577938521596,0.040745586695746794,0.05447164933080911
27,1,8+9+10+11+12+13+14+15,0.07314184563476156,0.07060453593335603,0.0346902608128834,0.05648923982107511
27,2,16+17+18+19+20+21+22+23,0.0802418444832437,0.07800039406478694,0.027933685135127062,0.05741546596765582
27,3,24+25+26+27+28+29+30+31,0.07266890520213243,0.06985590066845473,0.038709879085878196,0.055781244266565534
