layer,reference_rms,candidate_rms,error_rms,relative_error,mean_cosine,best_candidate_scale,scaled_relative_error,mean_delta_error_fraction,row_error_kl_correlation,heldout_bias_recovery
20,0.3283147130849482,0.3221185279760093,0.1254160415410307,0.3819994552256954,0.9236092989005551,0.9436250014729938,0.3779739032404975,0.04167133337629267,0.04401988195659805,0.035449594923333216
21,0.3729430248764984,0.36347373914968956,0.13914819272498527,0.3731084467153254,0.9263274707593865,0.9531126237726683,0.37029948532214974,0.04016066416590427,0.04467590607881929,0.03372584517838767
22,0.4218116561887461,0.4142962102523275,0.1564334057210846,0.3708607939726684,0.9271624260648472,0.9470183409291567,0.36719178670406666,0.037474554383647336,0.051751260965229195,0.031143814722272928
23,0.5023056302082928,0.4848586882453214,0.18424459353576483,0.3667977869556499,0.9302140147744752,0.9644323074656583,0.36518749989663546,0.03562808916334246,0.059406354854878864,0.02966636071222309
24,0.5504857117294868,0.5305771524298178,0.2022261383230454,0.3673594682188972,0.9272985891823471,0.965591166644373,0.3658593991668319,0.0458332484033064,0.08379492803163088,0.03927396772238265
25,0.6066294531275369,0.5859303520750485,0.22050660391282245,0.3634947211612942,0.9282495862814705,0.9651365511901093,0.36193160090796134,0.04794665006668994,0.10860704811547792,0.0413338712040173
26,0.6581770550423529,0.6396589747835476,0.24002825215717435,0.36468644769412206,0.9281859361159408,0.9589649106854473,0.3624993059830221,0.04792867305549888,0.13174110517713042,0.041550082243385744
27,0.7161286468203412,0.6859898850822166,0.27556485385727075,0.3847979760072398,0.9269326867928708,0.964216795842683,0.38326825189078106,0.0406268533587153,0.1589602929100268,0.03551985293240886
28,0.7680240397396422,0.7446289955429446,0.2909643777479858,0.37884800825586373,0.9223947167418889,0.9555688527092144,0.37639091891698684,0.054526911555532,0.1991243523838273,0.04817793658326386
29,0.8862376966617542,0.8576473852013986,0.32661067734301336,0.3685362048728888,0.9268214078469114,0.9613788193547492,0.3666360935091306,0.05670871411135655,0.23141480881598794,0.04964670893598755
30,0.9660007355385675,0.9323145379867197,0.36478107350981426,0.37761987138285197,0.9243251958314082,0.9602408067995338,0.37566514580722615,0.05762446538842772,0.27018643718079854,0.0503602117552123
31,1.05716602112263,1.0113067474101636,0.42192084754272974,0.39910557009265385,0.9179870721568449,0.9593452715292009,0.3972061613451437,0.058188392746519886,0.2701700368156099,0.05031214725891689
