document,chunk,positions,baseline_js,corrected_js,js_reduction,baseline_tv,corrected_tv
real-logits,18,63,0.04340194181783036,0.04221645421958307,0.001185487598247291,0.14642479371220346,0.14238844131903042
real-logits,19,63,0.06727546435366902,0.0673330408513605,-5.757649769148887e-05,0.19277994767836634,0.19082398765853473
real-logits,20,63,0.03936829052621588,0.03711188795222413,0.0022564025739917476,0.14321542009415608,0.13704996936703248
real-logits,21,63,0.045048978508612704,0.0449600206828484,8.895782576430478e-05,0.1612409825421988,0.15845940430604277
real-logits,22,63,0.032654089228590095,0.03280970761700282,-0.00015561838841272185,0.13171263376162165,0.13112057236925004
real-logits,23,63,0.04270042059388721,0.04215284875254073,0.0005475718413464822,0.13323302525613043,0.1289913414844445
real-logits,24,63,0.039565891171583815,0.03978733037273207,-0.00022143920114825466,0.1428880277311518,0.141633578797891
real-logits,25,63,0.06015816490426438,0.05807698655703534,0.00208117834722904,0.1885601490410784,0.1826341509789465
real-logits,26,63,0.06134061642464191,0.059613036608280955,0.001727579816360958,0.19189855681052284,0.18827305411890385
real-logits,27,63,0.037512208804458616,0.03725061335763524,0.0002615954468233733,0.1202599953061768,0.11807106562431842
real-logits,28,63,0.05421679744881297,0.05353594897314906,0.0006808484756639088,0.17913141512563305,0.17747450135056936
real-logits,29,63,0.03830840762719394,0.03742058883746347,0.0008878187897304671,0.12820183799143822,0.12687949590858014
real-logits,30,63,0.05664994587127622,0.05759540488499971,-0.0009454590137234903,0.17224891853356172,0.173332823233472
real-logits,31,63,0.060899087538321815,0.05981372046609602,0.0010853670722257985,0.19398307371588927,0.19081001756860624
low-rank-controls,0,63,0.0604132530944688,0.058586991284900004,0.0018262618095687966,0.21266317876085403,0.2082995135810167
low-rank-controls,1,63,0.041831542362665966,0.04096482853896709,0.0008667138236988781,0.1338837401024879,0.1314404234585781
low-rank-controls,2,63,0.06853233984050651,0.06571025884754601,0.002822080992960496,0.19577459494272867,0.18974940526107
low-rank-controls,3,63,0.04709054983409476,0.04544304805393848,0.0016475017801562825,0.1667170057161933,0.16340720502748377
low-rank-controls,4,63,0.0363186599080643,0.035685187823320225,0.0006334720847440758,0.13043122076325947,0.1287884101168149
low-rank-controls,5,63,0.055179712170409775,0.05427912546927848,0.0009005867011312937,0.15896871588414624,0.1553816958847973
low-rank-controls,6,63,0.04562223954717555,0.04447646442401622,0.0011457751231593316,0.16694810291722653,0.16333643361807815
low-rank-controls,7,63,0.008152710646668095,0.007992746965360962,0.00015996368130713305,0.028665617736618198,0.027608405621278854
low-rank-controls,8,63,0.04744423296864307,0.04735488390609149,8.934906255158442e-05,0.15835833274537608,0.15789371965423463
low-rank-controls,9,63,0.05714869954889374,0.056331640634212705,0.0008170589146810348,0.16079269036177604,0.1588315860856147
low-rank-controls,10,63,0.04800717506025519,0.04741347608438763,0.000593698975867557,0.16035539577049868,0.15746739527417553
low-rank-controls,11,63,0.05583480177151542,0.05377518333539012,0.0020596184361252948,0.18364173812525614,0.17856889428009118
low-rank-controls,12,63,0.04987294043946479,0.04974433751259413,0.0001286029268706551,0.16281787971300737,0.15982111232976118
low-rank-controls,13,63,0.04980309855004418,0.049365485545306925,0.0004376130047372556,0.1616047699122675,0.16040605333234584
low-rank-controls,14,63,0.032101105354423266,0.032392849177417776,-0.0002917438229945099,0.11460361396154714,0.11504937554635698
low-rank-controls,15,63,0.05194568104805455,0.05074434865003688,0.0012013323980176668,0.18428475137740846,0.18158941786913646
