fold,test_chunks,head,strength,kl,js,tv,top1_agreement,top10_overlap
2,16+17+18+19+20+21+22+23,128,1.0,0.205936464994184,0.047501518710316215,0.20560058688190314,0.746031746031746,0.775
2,16+17+18+19+20+21+22+23,128,1.5,0.20583573176808717,0.047455640611376894,0.20539624982210092,0.7361111111111112,0.7742063492063493
2,16+17+18+19+20+21+22+23,128,2.0,0.20598785394887517,0.04746696055926191,0.2053902673099993,0.7361111111111112,0.7732142857142859
2,16+17+18+19+20+21+22+23,256,0.0,0.20689404047637558,0.04776397219135351,0.20661873681678522,0.7400793650793651,0.7742063492063493
2,16+17+18+19+20+21+22+23,256,0.25,0.2065542253789144,0.04767604006226953,0.20627837274269184,0.7400793650793651,0.7746031746031746
2,16+17+18+19+20+21+22+23,256,0.5,0.20627926906809801,0.047602670586853954,0.20599403288612111,0.7400793650793651,0.7740079365079365
2,16+17+18+19+20+21+22+23,256,1.0,0.20592396586220102,0.04749973287833936,0.20559742338064962,0.746031746031746,0.775
2,16+17+18+19+20+21+22+23,256,1.5,0.2058280880158395,0.04745548983913479,0.2053968197737309,0.7361111111111112,0.7742063492063493
2,16+17+18+19+20+21+22+23,256,2.0,0.20599247055264322,0.047470107881456405,0.2053982925921561,0.7361111111111112,0.7732142857142859
3,24+25+26+27+28+29+30+31,8,0.0,0.23135197366611956,0.053077387179971285,0.22524132477106862,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,8,0.25,0.23105709852582854,0.05301267467444949,0.2249767688270887,0.7777777777777778,0.7476190476190476
3,24+25+26+27+28+29+30+31,8,0.5,0.23080813483177318,0.0529582173823244,0.22475535788293027,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,8,1.0,0.23044793852352,0.05288004138764163,0.22440239142056342,0.7837301587301587,0.7476190476190476
3,24+25+26+27+28+29+30+31,8,1.5,0.23027131299631803,0.05284309119641991,0.22416855345508094,0.7857142857142857,0.7476190476190476
3,24+25+26+27+28+29+30+31,8,2.0,0.2302785666603981,0.052847557811204864,0.22412064982523183,0.7837301587301587,0.748015873015873
3,24+25+26+27+28+29+30+31,16,0.0,0.23135197366611956,0.053077387179971285,0.22524132477106862,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,16,0.25,0.23101526502972455,0.05300517696032185,0.22495867147292647,0.7777777777777778,0.7488095238095239
3,24+25+26+27+28+29+30+31,16,0.5,0.2307309137031841,0.05294460059847566,0.22472148508521578,0.7757936507936508,0.7486111111111111
3,24+25+26+27+28+29+30+31,16,1.0,0.23031872875470158,0.052858424401778945,0.22434522440836724,0.7837301587301587,0.749404761904762
3,24+25+26+27+28+29+30+31,16,1.5,0.23011579337900104,0.052819163885538326,0.22410034637929735,0.7857142857142857,0.749404761904762
3,24+25+26+27+28+29+30+31,16,2.0,0.23012233293362472,0.05282690879812796,0.2240532457410212,0.7837301587301587,0.75
3,24+25+26+27+28+29+30+31,32,0.0,0.23135197366611956,0.053077387179971285,0.22524132477106862,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,32,0.25,0.2309989264810163,0.053002143362395115,0.22495444773350812,0.7777777777777778,0.7488095238095239
3,24+25+26+27+28+29+30+31,32,0.5,0.23070302559279385,0.05293959205325322,0.2247157041849624,0.7757936507936508,0.7486111111111111
3,24+25+26+27+28+29+30+31,32,1.0,0.23028233446287535,0.05285272531401706,0.22434280085023298,0.7837301587301587,0.749404761904762
3,24+25+26+27+28+29+30+31,32,1.5,0.2300901917626597,0.05281711866179634,0.2241095566472405,0.7857142857142857,0.749404761904762
3,24+25+26+27+28+29+30+31,32,2.0,0.23012688398020623,0.052832823549301286,0.2240876776108457,0.7837301587301587,0.75
3,24+25+26+27+28+29+30+31,64,0.0,0.23135197366611956,0.053077387179971285,0.22524132477106862,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,64,0.25,0.23098199429434663,0.052999209516706794,0.224949021756546,0.7777777777777778,0.7488095238095239
3,24+25+26+27+28+29+30+31,64,0.5,0.23067281243146726,0.05293454352180388,0.22470685544716876,0.7757936507936508,0.7486111111111111
3,24+25+26+27+28+29+30+31,64,1.0,0.2302362506291083,0.05284581705268826,0.2243326700161214,0.7837301587301587,0.749404761904762
3,24+25+26+27+28+29+30+31,64,1.5,0.23004266570664877,0.05281158044646064,0.2241058902939022,0.7857142857142857,0.749404761904762
3,24+25+26+27+28+29+30+31,64,2.0,0.23009256888629656,0.052831867062852526,0.22409591268828197,0.7837301587301587,0.75
3,24+25+26+27+28+29+30+31,128,0.0,0.23135197366611956,0.053077387179971285,0.22524132477106862,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,128,0.25,0.23097371550925128,0.05299783009930555,0.2249456850089094,0.7777777777777778,0.7488095238095239
3,24+25+26+27+28+29+30+31,128,0.5,0.2306589626330115,0.05293238235461623,0.2247013250098029,0.7757936507936508,0.7486111111111111
3,24+25+26+27+28+29+30+31,128,1.0,0.2302193349364282,0.05284388832350242,0.2243269129795076,0.7837301587301587,0.749404761904762
3,24+25+26+27+28+29+30+31,128,1.5,0.23003346048449563,0.05281228452379707,0.22410414515922192,0.7857142857142857,0.749404761904762
3,24+25+26+27+28+29+30+31,128,2.0,0.2301018536081323,0.05283759437454844,0.22410273088370025,0.7837301587301587,0.75
3,24+25+26+27+28+29+30+31,256,0.0,0.23135197366611956,0.053077387179971285,0.22524132477106862,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,256,0.25,0.2309624673203322,0.052996208810161496,0.22494266866557328,0.7777777777777778,0.7488095238095239
3,24+25+26+27+28+29+30+31,256,0.5,0.23063842252959726,0.052929572084867545,0.2246962278322104,0.7757936507936508,0.7486111111111111
3,24+25+26+27+28+29+30+31,256,1.0,0.23018608645967711,0.05284003048949498,0.22432067321059304,0.7837301587301587,0.749404761904762
3,24+25+26+27+28+29+30+31,256,1.5,0.22999533243608541,0.05280913462037721,0.22410034849807353,0.7857142857142857,0.749404761904762
3,24+25+26+27+28+29+30+31,256,2.0,0.23006653248465603,0.05283691216439524,0.22410541572219425,0.7837301587301587,0.75
