quant,block,chunks,positions,method,candidate_temperature,candidate_top_p,sampler_js,sampler_tv,sampler_support_jaccard
Q2_K_XL,12,12,63,frozen-joint,0.72875,0.9649999999999999,0.06978969210537062,0.2194699276948259,0.654216763665884
Q2_K_XL,12,12,63,frozen-temperature,0.7625000000000002,0.95,0.06938696225794654,0.21751122631960446,0.6538617789269952
Q2_K_XL,12,12,63,frozen-top-p,0.8,0.9312499999999999,0.06979978393157205,0.21765668950383626,0.641766229955712
Q2_K_XL,12,12,63,same-settings,0.8,0.95,0.06805737704659502,0.21643808528426148,0.6521389637654613
Q2_K_XL,13,13,63,frozen-joint,0.72875,0.9649999999999999,0.05665451065925438,0.16999718132946226,0.6979559681940635
Q2_K_XL,13,13,63,frozen-temperature,0.7625000000000002,0.95,0.057580796172029325,0.17106229279722487,0.7074438641898959
Q2_K_XL,13,13,63,frozen-top-p,0.8,0.9312499999999999,0.05782480356061742,0.17118649054614324,0.7251494594442168
Q2_K_XL,13,13,63,same-settings,0.8,0.95,0.058737207396281146,0.17392152713404763,0.6825274076115503
Q2_K_XL,14,14,63,frozen-joint,0.72875,0.9649999999999999,0.03205712888406457,0.1111160817718695,0.750958410843168
Q2_K_XL,14,14,63,frozen-temperature,0.7625000000000002,0.95,0.03267284385704746,0.11093842143577243,0.7478434216701293
Q2_K_XL,14,14,63,frozen-top-p,0.8,0.9312499999999999,0.03283534905437144,0.11185765225026342,0.7491352944996446
Q2_K_XL,14,14,63,same-settings,0.8,0.95,0.03282807873643284,0.11326853945733063,0.7355346588568148
Q2_K_XL,15,15,63,frozen-joint,0.72875,0.9649999999999999,0.03614949935396749,0.11698831709486152,0.8015593234851314
Q2_K_XL,15,15,63,frozen-temperature,0.7625000000000002,0.95,0.03636981039787878,0.11754417088296679,0.8026167768847109
Q2_K_XL,15,15,63,frozen-top-p,0.8,0.9312499999999999,0.03683668110955743,0.11897719284844777,0.8013012627316134
Q2_K_XL,15,15,63,same-settings,0.8,0.95,0.036965337432255704,0.1199358103885537,0.7959441146852991
Q2_K_XL,16,16,63,frozen-joint,0.72875,0.9649999999999999,0.040507360812394866,0.13107209348134577,0.7478500058647193
Q2_K_XL,16,16,63,frozen-temperature,0.7625000000000002,0.95,0.04159579638923917,0.13284869628056648,0.7403265235144061
Q2_K_XL,16,16,63,frozen-top-p,0.8,0.9312499999999999,0.04220380121102882,0.13441500011535865,0.7487506457837969
Q2_K_XL,16,16,63,same-settings,0.8,0.95,0.041834122057826745,0.13487182786717775,0.7400449139499756
Q2_K_XL,17,17,63,frozen-joint,0.72875,0.9649999999999999,0.03504104055242524,0.1281137646486362,0.7481842419923762
Q2_K_XL,17,17,63,frozen-temperature,0.7625000000000002,0.95,0.036062284903083414,0.13058638788523183,0.7475418871252205
Q2_K_XL,17,17,63,frozen-top-p,0.8,0.9312499999999999,0.037185244448852565,0.13349056450857055,0.749333695665174
Q2_K_XL,17,17,63,same-settings,0.8,0.95,0.03834074253349432,0.135780827467522,0.7119000986214962
Q2_K_XL,18,18,63,frozen-joint,0.72875,0.9649999999999999,0.05272447558060762,0.16623051848912995,0.7078384244139506
