quant,fold,test_chunks,calibration_positions,test_positions,method,reference_temperature,reference_top_p,candidate_temperature,candidate_top_p,training_js,sampler_js,sampler_tv,sampler_support_jaccard
Q2_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-temperature-top-p,0.8,0.95,0.7100000000000001,0.97,0.0660874566478924,0.06197418051358129,0.20836829344394603,0.6602029368011721
Q2_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-top-p,0.8,0.95,0.8,0.9299999999999999,0.06738959443873682,0.06320234277287483,0.21060393957997717,0.6749109109710401
Q2_K_XL,3,24+25+26+27+28+29+30+31,256,504,same-settings,0.8,0.95,0.8,0.95,,0.07077657047332087,0.23398102673568896,0.6091435977224663
Q2_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-temperature,0.8,0.95,0.7600000000000001,0.95,0.060003277391814436,0.06956827592408185,0.22972096857200894,0.6404154423505329
Q2_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-temperature-top-p,0.8,0.95,0.7150000000000001,0.97,0.05950671069592772,0.06946993309501855,0.22984013695543307,0.626911772459528
Q2_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-top-p,0.8,0.95,0.8,0.9299999999999999,0.060963795364841644,0.07041141108591488,0.23177120595845202,0.6435424871714603
Q4_K_XL,0,0+1+2+3+4+5+6+7,256,504,same-settings,0.8,0.95,0.8,0.95,,0.007847358237167359,0.06081733427893755,0.8742896516243156
Q4_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-temperature,0.8,0.95,0.7950000000000002,0.95,0.007225559996868469,0.007871737050021376,0.06085134478191668,0.8735355747398706
Q4_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-temperature-top-p,0.8,0.95,0.7800000000000001,0.96,0.00716897347547274,0.00797562353161791,0.0616812093173235,0.8627292835580789
Q4_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.007241124691617529,0.007847358237167359,0.06081733427893755,0.8742896516243156
Q4_K_XL,1,8+9+10+11+12+13+14+15,256,504,same-settings,0.8,0.95,0.8,0.95,,0.007030156081796916,0.054309655574061685,0.8841066460673628
Q4_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-temperature,0.8,0.95,0.7950000000000002,0.95,0.00775579507519808,0.0070282326948710675,0.05417990244533275,0.8844713688018842
Q4_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-temperature-top-p,0.8,0.95,0.7950000000000002,0.95,0.00775579507519808,0.0070282326948710675,0.05417990244533275,0.8844713688018842
Q4_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.00782186534466689,0.007030156081796916,0.054309655574061685,0.8841066460673628
Q4_K_XL,2,16+17+18+19+20+21+22+23,256,504,same-settings,0.8,0.95,0.8,0.95,,0.007657041153595942,0.06008093663406307,0.8772785283651728
Q4_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-temperature,0.8,0.95,0.7950000000000002,0.95,0.007674316698867756,0.0076937787362689886,0.060290390675488324,0.8759273794364387
Q4_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-temperature-top-p,0.8,0.95,0.7750000000000001,0.96,0.007624176913168412,0.007722370233620625,0.06183662904991901,0.8768635876336034
Q4_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.007781470888630793,0.007657041153595942,0.06008093663406307,0.8772785283651728
Q4_K_XL,3,24+25+26+27+28+29+30+31,256,504,same-settings,0.8,0.95,0.8,0.95,,0.0077139909639776134,0.06195965718333831,0.8755033072768741
Q4_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-temperature,0.8,0.95,0.7950000000000002,0.95,0.0076206797429705375,0.007725210870188358,0.06203095778353542,0.8749783025340695
Q4_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-temperature-top-p,0.8,0.95,0.7750000000000001,0.96,0.007610855274151618,0.007686719070000162,0.06302174991403248,0.8743758784428085
Q4_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.007675379531022486,0.0077139909639776134,0.06195965718333831,0.8755033072768741
