quant,fold,test_chunks,train_chunks,calibration_chunks,calibration_positions,test_positions,temperature,method,scale,equivalent_quant_temperature,kl,js,tv,acceptance,top1_agreement,top10_overlap,ref_entropy
Q2_K_XL,2,4+5,6,1,63,126,0.8,target-temperature+token,1.002216143578027,0.798231005483416,0.2601546983563782,0.05734338241782424,0.23058327901092696,0.769416720989073,0.8253968253968254,0.7642857142857142,1.8350905650820395
Q2_K_XL,2,4+5,6,1,63,126,1.0,identity,1.0354193519968735,0.9657922638508107,0.22652148365778144,0.05065667571074022,0.22076638565164453,0.7792336143483555,0.8095238095238095,0.7674603174603175,2.6995500623874586
Q2_K_XL,2,4+5,6,1,63,126,1.0,target-temperature,1.0354193519968735,0.9657922638508107,0.22463920589313144,0.04910046434900654,0.21466764888270465,0.7853323511172954,0.8095238095238095,0.7674603174603175,2.6995500623874586
Q2_K_XL,2,4+5,6,1,63,126,1.0,target-temperature+token,1.0354193519968735,0.9657922638508107,0.22525752048693645,0.05037607524613711,0.2235080239225258,0.7764919760774742,0.8333333333333334,0.765873015873016,2.6995500623874586
Q2_K_XL,2,4+5,6+7,2,126,126,0.8,identity,0.9853506665012338,0.8118937016002905,0.25811196148476506,0.05548616037460226,0.22002854373369474,0.7799714562663053,0.8095238095238095,0.7674603174603175,1.8350905650820395
Q2_K_XL,2,4+5,6+7,2,126,126,0.8,target-temperature,0.9853506665012338,0.8118937016002905,0.25823697203122575,0.05613622133876594,0.22254321105591449,0.7774567889440855,0.8095238095238095,0.7674603174603175,1.8350905650820395
Q2_K_XL,2,4+5,6+7,2,126,126,0.8,target-temperature+token,0.9853506665012338,0.8118937016002905,0.26987951221128026,0.060227114151684025,0.23736541894579494,0.762634581054205,0.7857142857142857,0.7634920634920634,1.8350905650820395
Q2_K_XL,2,4+5,6+7,2,126,126,1.0,identity,1.0194767192951744,0.980895376101732,0.22652148365778144,0.05065667571074022,0.22076638565164453,0.7792336143483555,0.8095238095238095,0.7674603174603175,2.6995500623874586
Q2_K_XL,2,4+5,6+7,2,126,126,1.0,target-temperature,1.0194767192951744,0.980895376101732,0.2246813235528908,0.04961729905601578,0.21681773850368238,0.7831822614963176,0.8095238095238095,0.7674603174603175,2.6995500623874586
Q2_K_XL,2,4+5,6+7,2,126,126,1.0,target-temperature+token,1.0194767192951744,0.980895376101732,0.23298784264352793,0.05264118564330893,0.22981771014944927,0.7701822898505507,0.7936507936507936,0.7682539682539682,2.6995500623874586
Q2_K_XL,2,4+5,6+7+0+1,4,252,126,0.8,identity,0.990991020825382,0.8072727029692879,0.25811196148476506,0.05548616037460226,0.22002854373369474,0.7799714562663053,0.8095238095238095,0.7674603174603175,1.8350905650820395
Q2_K_XL,2,4+5,6+7+0+1,4,252,126,0.8,target-temperature,0.990991020825382,0.8072727029692879,0.25809685697873463,0.055864846258124226,0.22151694733421282,0.7784830526657872,0.8095238095238095,0.7674603174603175,1.8350905650820395
Q2_K_XL,2,4+5,6+7+0+1,4,252,126,0.8,target-temperature+token,0.990991020825382,0.8072727029692879,0.2583032460443626,0.058372527053285064,0.2340886210169847,0.7659113789830153,0.8015873015873016,0.7698412698412699,1.8350905650820395
Q2_K_XL,2,4+5,6+7+0+1,4,252,126,1.0,identity,1.0336240020431495,0.9674697936805982,0.22652148365778144,0.05065667571074022,0.22076638565164453,0.7792336143483555,0.8095238095238095,0.7674603174603175,2.6995500623874586
Q2_K_XL,2,4+5,6+7+0+1,4,252,126,1.0,target-temperature,1.0336240020431495,0.9674697936805982,0.22458091958422444,0.049144549170772545,0.2148636621864555,0.7851363378135445,0.8095238095238095,0.7674603174603175,2.6995500623874586
Q2_K_XL,2,4+5,6+7+0+1,4,252,126,1.0,target-temperature+token,1.0336240020431495,0.9674697936805982,0.22338035419195054,0.050775906233214305,0.2256475096661449,0.7743524903338551,0.8095238095238095,0.7666666666666667,2.6995500623874586
