block,chunks,positions,method,scale,kl,js,tv,top1_agreement,top10_overlap
12,12,63,frozen-target-temperature,1.0293006839980887,0.2469607252557058,0.0550334711840978,0.2173332810842906,0.746031746031746,0.7460317460317458
12,12,63,frozen-temperature+token,1.0293006839980887,0.260747677256238,0.05833752268257634,0.22618307943910335,0.6825396825396826,0.7476190476190475
12,12,63,frozen-pairwise-gap,1.0293006839980887,0.2618595797370383,0.05839447810832517,0.22627174450652687,0.6825396825396826,0.7476190476190475
13,13,63,identity,1.0293006839980887,0.20502137877141238,0.05044879016636565,0.1872308281025635,0.873015873015873,0.7444444444444441
13,13,63,frozen-target-temperature,1.0293006839980887,0.2027766795351928,0.049055975646829425,0.18284578017837944,0.873015873015873,0.7444444444444441
13,13,63,frozen-temperature+token,1.0293006839980887,0.2094134860182903,0.050752604977874906,0.18853335649202352,0.8571428571428571,0.7412698412698409
13,13,63,frozen-pairwise-gap,1.0293006839980887,0.20861678957669683,0.050484463878607,0.18770672879180625,0.8571428571428571,0.7412698412698409
14,14,63,identity,1.0293006839980887,0.11473937750871303,0.02800214620728003,0.12689471671336613,0.873015873015873,0.7841269841269839
14,14,63,frozen-target-temperature,1.0293006839980887,0.11495304207485256,0.02733360539654192,0.12308169069711795,0.873015873015873,0.7841269841269839
14,14,63,frozen-temperature+token,1.0293006839980887,0.12304121430478307,0.029249871632511283,0.13193198336525142,0.8888888888888888,0.7777777777777776
14,14,63,frozen-pairwise-gap,1.0293006839980887,0.12324775569939427,0.029179459324675538,0.13169483370277024,0.8888888888888888,0.7777777777777776
15,15,63,identity,1.0293006839980887,0.13255645795880214,0.032407036755613954,0.1326083387840622,0.9047619047619048,0.7460317460317457
15,15,63,frozen-target-temperature,1.0293006839980887,0.12980257137741494,0.03116972882965496,0.1279990175813475,0.9047619047619048,0.7460317460317457
15,15,63,frozen-temperature+token,1.0293006839980887,0.13629896070174502,0.033293927557672055,0.1366997011110903,0.9047619047619048,0.7492063492063488
15,15,63,frozen-pairwise-gap,1.0293006839980887,0.13591766880157105,0.033144873158480775,0.13624962971128285,0.9047619047619048,0.7492063492063488
16,16,63,identity,1.0293006839980887,0.14820868074461116,0.03508668456488402,0.14801920806370408,0.8888888888888888,0.7555555555555554
16,16,63,frozen-target-temperature,1.0293006839980887,0.14429223419701737,0.03352983646332389,0.14242840842550725,0.8888888888888888,0.7555555555555554
16,16,63,frozen-temperature+token,1.0293006839980887,0.15829758704561125,0.037436644492861514,0.15561038115719655,0.8571428571428571,0.746031746031746
16,16,63,frozen-pairwise-gap,1.0293006839980887,0.15819025999947534,0.0373274867084075,0.15505257077418963,0.8571428571428571,0.746031746031746
17,17,63,identity,1.0293006839980887,0.11943335282656485,0.03079023736012341,0.14744947771124692,0.873015873015873,0.7888888888888886
