quant,fold,test_chunks,inner_validation_chunks,train_positions,test_positions,temperature,method,selected_head,selected_knots,selected_rank_bins,selected_strength,selected_enabled,scale,kl,js,tv,top1_agreement,top10_overlap
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,direct-gap-selected,8,8,1,0.05,False,1.0296383320160254,0.20714876807471994,0.0473189662566063,0.2054327055933803,0.75,0.7730158730158734
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,pairwise-gap-forced,8,32,1,0.05,True,1.0296383320160254,0.20708863247165618,0.04725518823499755,0.20513137398958725,0.75,0.7730158730158734
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,pairwise-gap-selected,8,32,1,0.05,True,1.0296383320160254,0.20708863247165618,0.04725518823499755,0.20513137398958725,0.75,0.7730158730158734
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,identity,0,0,0,0.0,False,1.0333700801977017,0.23134056820498766,0.05307770131141661,0.22524132493732052,0.7757936507936508,0.7476190476190474
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,target-temperature,0,0,0,0.0,False,1.0333700801977017,0.2309871831075669,0.05198651915815711,0.22031005075775945,0.7757936507936508,0.7476190476190474
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,target-temperature+token,0,0,0,0.0,False,1.0333700801977017,0.23205160475246323,0.05270013326178994,0.22321094298352998,0.7857142857142857,0.7529761904761902
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,direct-gap-forced,32,32,4,0.25,True,1.0333700801977017,0.23286044940410594,0.05292434038288787,0.2242189236467816,0.7896825396825397,0.7519841269841268
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,direct-gap-selected,32,32,4,0.25,True,1.0333700801977017,0.23286044940410594,0.05292434038288787,0.2242189236467816,0.7896825396825397,0.7519841269841268
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,pairwise-gap-forced,32,4,4,0.05,False,1.0333700801977017,0.2323165936066588,0.05299505373668333,0.2249305052941778,0.7857142857142857,0.7529761904761902
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,pairwise-gap-selected,32,4,4,0.05,False,1.0333700801977017,0.23205160475246323,0.05270013326178994,0.22321094298352998,0.7857142857142857,0.7529761904761902
